,Elementary,Intermediate,Advanced
00,0.008225627127740734,-0.00018473814876469757,-0.00804088897897606
000,0.011855532820729013,-0.020356440644001734,0.008500907823272771
000 95,-0.005888849557037553,-0.0007887261799184986,0.006677575736956048
000 adult,0.00431349733798758,0.003388096372331665,-0.007701593710319257
000 american,0.01122773016120778,-0.0008491026692455215,-0.010378627491962245
000 and,0.019316605047291803,-0.013903685098198263,-0.005412919949093507
000 bins,-0.003329423271514747,0.0027001564067549383,0.000629266864759807
000 boehner,0.016318798345435048,0.0007225777263409821,-0.017041376071776044
000 buildings,0.009307400792630208,-0.0033762018761383187,-0.0059311989164918845
000 businesses,0.004967144483434514,-0.0011113100843375564,-0.003855834399096964
000 dhakal,-0.005888849557037553,-0.0007887261799184986,0.006677575736956048
000 different,0.01414873297359974,-0.007427411900763954,-0.006721321072835816
000 documents,0.006671371228699377,-0.0015694243812724423,-0.005101946847426917
000 don,0.001507355447917088,0.00142112167834483,-0.002928477126261885
000 electric,0.0012805505651625037,-0.0024597300209717324,0.0011791794558091986
000 enrolments,0.006866919630026214,0.00021679043806597457,-0.007083710068092198
000 eurasian,-0.00047819258661971066,-0.0017439198671101222,0.0022221124537298393
000 feet,0.009105742524306248,-0.0014458954563164764,-0.0076598470679897735
000 fish,0.0011511268993962312,0.0002724287785116624,-0.0014235556779078943
000 food,-0.006215050131763894,0.00636354164613997,-0.00014849151437607895
000 for,0.012751650945290223,-0.002574716705972595,-0.010176934239317658
000 from,0.04692822961623092,0.01309711345278423,-0.06002534306901506
000 hectares,0.0034974676599979497,0.001024998280517818,-0.004522465940515768
000 hits,0.023035870714971304,-0.013350259688513664,-0.009685611026457649
000 hours,0.009097715609622595,0.0021097647981386317,-0.01120748040776125
000 households,-0.10706179883298063,0.06689930071075872,0.040162498122222015
000 in,-0.1585578122689528,-0.024928061878049055,0.18348587414700157
000 italian,0.013525743453329261,-0.0017897051554905297,-0.01173603829783874
000 kilos,0.0034974676599979497,0.001024998280517818,-0.004522465940515768
000 liverpool,0.006671371228699377,-0.0015694243812724423,-0.005101946847426917
000 miles,0.029338694105608795,-0.047013236123277825,0.017674542017669027
000 millionaires,0.0067073635871052325,-0.005348837522091863,-0.001358526065013361
000 month,-0.060775484001924514,0.004768115438612269,0.05600736856331245
000 mystery,0.008769828775886357,0.00021330755194320594,-0.008983136327829502
000 note,0.013525743453329261,-0.0017897051554905297,-0.01173603829783874
000 of,-0.07868136309977669,0.05956501010981708,0.0191163529899598
000 or,-0.07824627087885322,0.047581118041659515,0.030665152837193527
000 people,0.06791804219692477,0.11212172354053053,-0.18003976573745575
000 public,0.0008970648240966528,0.0021385752097628887,-0.0030356400338595498
000 samples,0.0034594509522447464,-0.004411377608442148,0.0009519266561974152
000 songs,0.0021624298933996325,0.0031657291765914393,-0.0053281590699910475
000 square,0.011054390727676836,-0.006382110460099106,-0.004672280267577701
000 swiss,0.013525743453329261,-0.0017897051554905297,-0.01173603829783874
000 the,0.02484005208320714,-0.03977905651003221,0.014939004426824989
000 to,-0.028131142965846557,-0.0028840431410927306,0.031015186106939336
000 tonnes,0.0025986588098680357,0.002113617948614394,-0.004712276758482414
000 tourists,0.0008970648240966528,0.0021385752097628887,-0.0030356400338595498
000 trees,-0.0015983917155798458,0.0020888053017454633,-0.0004904135861655937
000 us,0.01122773016120778,-0.0008491026692455215,-0.010378627491962245
000 users,0.007128045270511669,-0.003993757207848646,-0.003134288062663037
000 venezuelans,0.009386001065385263,-0.0019508324619015918,-0.007435168603483621
000 what,0.0048873586176021114,8.685130752350219e-05,-0.004974209925125614
000 while,-0.049433182807181834,0.03486028407417086,0.014572898733010866
000 winners,0.029878628072665225,-0.05262887315564855,0.02275024508298342
000 with,0.0048873586176021114,8.685130752350219e-05,-0.004974209925125614
000 wolves,-0.00047819258661971066,-0.0017439198671101222,0.0022221124537298393
000 words,0.007795974642256237,-0.005596103538380894,-0.0021998711038753414
000 working,0.0048873586176021114,8.685130752350219e-05,-0.004974209925125614
000 worst,0.009410225218025285,0.0006581993322166032,-0.010068424550241852
000 year,0.005179602149522541,0.0001259828763809251,-0.0053055850259034545
000 years,-0.0011643903092053186,0.013367722828651774,-0.01220333251944647
000 youõre,-0.006215050131763894,0.00636354164613997,-0.00014849151437607895
000km,0.002698332954102162,0.0012253739133253362,-0.003923706867427497
000km trip,0.002698332954102162,0.0012253739133253362,-0.003923706867427497
000th,0.007240254541552855,0.0017575662608549938,-0.00899782080240785
000th of,0.007240254541552855,0.0017575662608549938,-0.00899782080240785
001,0.006448054803655461,-0.0038845932092812863,-0.0025634615943741436
